# pt-br word -> ARPAbet (nearest en/ phones), from espeak-ng.
# Generated by scripts/make_pron_lexicon.py from lyrics.txt.
# What matters is the vowel count = syllable count (s05 splits on it).
a	AA
acorda	AA K AO R D AH
agradece	AA G R AA D EH S IY
algoritmo	AW G OW R IY T M UH
almoço	AW M OW S UH
alugado	AA L UW G AA D UH
aluguel	AA L UW G EH
aposta	AA P AO S T AH
arrasta	AA HH AA S T AH
autoridade	AW T OW R IY D AA JH IY
banca	B AH NG K AH
bem	B EY NG
bet	B EH CH
bombando	B OW M B AH NG D UH
brilha	B R IY L Y AH
brilhando	B R IY L Y AH NG D UH
brilho	B R IY L Y UH
cadê	K AA D EY
cai	K AY
canalha	K AH N AA L Y AH
carrão	K AA HH AW
caráter	K AA R AA T EY R
cenário	S EY N AA R Y UH
champanhe	SH AH M P AH N Y IY
cilada	S IY L AA D AH
cima	S IY M AH
coach	K OW AA SH
cobra	K AO B R AH
comissão	K OW M IY S AW
comprada	K OW M P R AA D AH
compram	K OW M P R AW
contrato	K OW NG T R AA T UH
coragem	K OW R AA ZH EY NG
cordão	K OW R D AW
corre	K AO HH IY
cresce	K R EH S IY
da	D AA
de	JH IY
deles	D EY L IY S
dente	D EY NG CH IY
desaparece	D EY Z AA P AA R EH S IY
desconversa	D EY S K OW NG V EH R S AH
desespero	D EY Z EY S P EY R UH
dia	JH IY AH
dinheiro	JH IY N Y EY R UH
diária	JH IY AA R Y AH
do	D UH
e	IY
em	EY NG
empurra	EY M P UW HH AH
entretenimento	EY NG T R EY T EY N IY M EY NG T UH
esconde	EY S K OW NG JH IY
esse	EY S IY
eu	EY W
extrato	EY S T R AA T UH
fala	F AA L AH
falsa	F AW S AH
família	F AH M IY L Y AH
feed	F IY D
filme	F UW M IY
fiz	F IY S
foi	F OY
frase	F R AA Z IY
fácil	F AA S UW
fé	F EH
golpe	G AO W P IY
green	G R IY N
gênio	ZH EY N Y UH
ilusão	IY L UW Z AW
jogada	ZH OW G AA D AH
levanta	L EY V AH NG T AH
liberdade	L IY B EY R D AA JH IY
lucro	L UW K R UH
luta	L UW T AH
luxo	L UW SH UH
mais	M AY S
mansão	M AH NG S AW
mas	M AA S
mau	M AW
menor	M EY N AO R
mensagem	M EY NG S AA ZH EY NG
mente	M EY NG CH IY
merece	M EY R EH S IY
mesma	M EY Z M AH
mesmo	M EY Z M UH
milionário	M IY L IY OW N AA R Y UH
mostra	M AO S T R AH
na	N AA
nem	N EY NG
no	N UH
novela	N OW V EH L AH
novo	N OW V UH
nunca	N UW NG K AH
não	N AW
o	OW
olha	AO L Y AH
outro	OW W T R UH
papo	P AA P UH
peito	P EY T UH
pensa	P EY NG S AH
perde	P EH R JH IY
perfeito	P EY R F EY T UH
perguntam	P EY R G UW NG T AW
personalidade	P EY R S OW N AA L IY D AA JH IY
pescoço	P EY S K OW S UH
pisando	P IY Z AH NG D UH
pouco	P OW W K UH
povo	P OW V UH
povão	P OW V AW
pra	P R AA
prejuízo	P R EY ZH UW IY Z UH
preço	P R EY S UH
print	P R IY NG CH
publi	P UW B L IY
quando	K W AH NG D UH
quanto	K W AH NG T UH
que	K IY
quebrada	K EY B R AA D AH
quem	K EY NG
quê	K EY
real	HH EY AW
rindo	HH IY NG D UH
sabia	S AA B IY AH
semana	S EY M AH N AH
silêncio	S IY L EY NG S Y UH
sonho	S OW N Y UH
stories	S T OW R IY Y S
story	S T OW R IY
suga	S UW G AH
só	S AO
ta	T AA
te	CH IY
tela	T EH L AH
teu	T EY W
toda	T OW D AH
todo	T OW D UH
trabalhador	T R AA B AA L Y AA D OW R
transformam	T R AH NG S F AO R M AW
um	UW NG
vai	V AY
vantagem	V AH NG T AA ZH EY NG
vencer	V EY NG S EY R
venci	V EY NG S IY
vende	V EY NG JH IY
vendem	V EY NG D EY NG
vendendo	V EY NG D EY NG D UH
verdade	V EY R D AA JH IY
vermelho	V EY R M EY L Y UH
vestido	V EY S CH IY D UH
vida	V IY D AH
vira	V IY R AH
visão	V IY Z AW
vê	V EY
vício	V IY S Y UH
é	EH
